iter	RMSE
0	1531.589931
1	1477.603454
2	1425.100211
3	1376.092267
4	1330.354626
5	1288.303906
6	1247.999456
7	1207.685461
8	1170.59729
9	1135.518576
10	1101.896023
11	1070.250074
12	1039.96085
13	1011.432496
14	984.953256
15	957.7391266
16	934.9833189
17	913.559452
18	893.0559781
19	873.858891
20	852.4392982
21	832.965412
22	813.7462353
23	795.05462
24	777.7028599
25	760.9132156
26	746.8295716
27	732.4230817
28	719.2112021
29	705.5776204
30	692.9493496
31	680.5969079
32	670.1306577
33	659.0130344
34	648.2553837
35	637.5137647
36	628.2868216
37	620.8085207
38	612.7064375
39	611.1561821
40	602.8445765
41	600.6440439
42	599.1739776
43	592.7210102
44	591.3104232
45	589.9180241
46	588.5530834
47	587.2284609
48	582.5467405
49	581.283001
50	580.0423833
51	574.646827
52	572.7577491
53	570.9891899
54	564.9348095
55	563.8074014
56	562.6990625
57	557.8184352
58	551.5746815
59	549.8355487
60	548.2059954
61	546.5678176
62	545.5883834
63	544.6398129
64	539.3575785
65	532.2204297
66	531.3100113
67	530.4237488
68	529.559838
69	528.7195327
70	523.2299046
71	515.4768668
72	514.6474465
73	513.2720251
74	511.8865225
75	510.5144403
76	509.7753955
77	502.1920562
78	497.2057518
79	496.5042518
80	489.4959461
81	488.8216305
82	488.1599804
83	483.1601197
84	479.1181095
85	478.4855261
86	477.2366851
87	473.3188013
88	467.4686886
89	466.8840044
90	466.2890574
91	465.1401611
92	464.0227976
93	458.1059915
94	456.9918011
95	456.4830366
96	455.4127131
97	451.4580972
98	447.7444361
99	446.8308483
100	443.1411925
101	439.7136473
102	438.7183498
103	433.0315417
104	427.6939921
105	427.2732157
106	422.2768438
107	419.6920564
108	414.8579499
109	409.7735479
110	408.8269092
111	407.9496221
112	407.0388616
113	403.506996
114	402.6640163
115	398.1096852
116	393.2697227
117	392.911006
118	388.267577
119	384.8543684
120	380.4230349
121	377.668774
122	376.8299272
123	374.6126746
124	373.835564
125	369.6842728
126	365.8521743
127	365.3308346
128	364.6322151
129	363.8929788
130	361.2260792
131	360.5036054
132	358.5214952
133	356.498847
134	355.6111328
135	354.9156066
136	351.40154
137	348.0820144
138	347.8567194
139	347.1694988
140	346.5916303
141	342.9214979
142	342.354749
143	342.1390314
144	338.817055
145	336.8458584
146	333.7799965
147	333.5923816
148	329.96904
149	329.3661193
150	326.3267653
151	325.7052257
152	324.2696361
153	321.5871402
154	317.9492942
155	317.3900553
156	316.7933607
157	316.2674066
158	313.8190242
159	309.8092348
160	307.6179951
161	303.8947734
162	301.2792521
163	297.9564343
164	294.8275415
165	292.9628619
166	290.7709378
167	287.8524891
168	286.0910096
169	283.4502854
170	282.9904078
171	280.3174015
172	278.2386223
173	276.4235829
174	275.9777164
175	272.9291437
176	270.1743498
177	269.1401277
178	266.49317
179	265.7345685
180	263.6392279
181	262.3876276
182	259.376834
183	257.2464475
184	255.6014057
185	255.303352
186	252.6645215
187	250.0820045
188	249.7710956
189	248.5095068
190	246.0033421
191	243.8146895
192	241.7522118
193	239.4647764
194	238.390452
195	236.4991779
196	235.0329753
197	234.7756704
198	233.9983629
199	232.1271291
200	230.0401405
201	229.0045266
202	228.7711096
203	227.0028681
204	226.7778375
205	226.5279418
206	224.7362417
207	223.1100491
208	222.0260334
209	220.1958355
210	219.2525369
211	217.5908793
212	215.8387105
213	214.8331357
214	214.1491628
215	213.3366101
216	211.4434476
217	209.6675894
218	208.1101932
219	207.2694385
220	205.8061135
221	204.4381246
222	204.2685672
223	202.5970967
224	201.2060226
225	200.1208969
226	198.2856303
227	197.9470062
228	196.655558
229	194.8950689
230	193.4307564
231	193.1100372
232	192.0045567
233	190.4896566
234	189.2895873
235	188.3520644
236	187.9390975
237	187.0334154
238	186.8692003
239	186.7093248
240	185.3042782
241	184.4423922
242	182.5988519
243	182.4461316
244	182.3023162
245	182.0381163
246	181.8958806
247	181.6477738
248	181.5120256
249	181.0319618
250	180.0888114
251	179.0634086
252	178.9430637
253	178.7076274
254	177.2669728
255	176.4986305
256	175.967214
257	174.9202635
258	173.1303433
259	171.6245677
260	170.5549495
261	169.253154
262	168.4633523
263	167.5569886
264	166.2888195
265	165.3183488
266	164.2661146
267	163.1907708
268	162.9837512
269	162.4406543
270	162.3336259
271	162.2295076
272	160.9573349
273	159.9733785
274	159.7819498
275	158.9054357
276	158.3984893
277	156.9808422
278	155.8893479
279	154.9448048
280	154.4391606
281	154.3423737
282	153.3489231
283	152.5936221
284	152.5004559
285	151.9980364
286	151.9072736
287	150.6921157
288	149.7884536
289	148.8947953
290	148.4304786
291	147.404926
292	147.0576298
293	146.233859
294	146.0786722
295	145.0681905
296	144.9185061
297	144.0488864
298	143.5978882
299	142.4871842
75
