iter	Passed	Remaining
0	162	48669
1	188	28057
2	206	20399
3	223	16536
4	244	14404
5	266	13053
6	287	12029
7	306	11196
8	332	10747
9	353	10245
10	370	9746
11	391	9394
12	410	9071
13	428	8744
14	450	8554
15	467	8299
16	486	8102
17	504	7910
18	522	7733
19	542	7589
20	558	7423
21	584	7386
22	604	7283
23	623	7166
24	646	7112
25	665	7017
26	685	6932
27	707	6870
28	731	6837
29	748	6737
30	764	6630
31	781	6542
32	798	6461
33	815	6378
34	832	6304
35	847	6213
36	864	6145
37	880	6068
38	895	5992
39	912	5934
40	927	5861
41	943	5796
42	955	5708
43	968	5633
44	982	5565
45	999	5516
46	1012	5452
47	1030	5407
48	1047	5363
49	1057	5288
50	1072	5237
51	1086	5181
52	1097	5116
53	1112	5069
54	1128	5027
55	1146	4994
56	1160	4945
57	1175	4905
58	1189	4858
59	1204	4818
60	1220	4782
61	1235	4741
62	1251	4708
63	1259	4645
64	1276	4616
65	1289	4571
66	1302	4528
67	1315	4488
68	1329	4451
69	1341	4406
70	1362	4393
71	1379	4368
72	1391	4327
73	1405	4292
74	1421	4265
75	1434	4227
76	1449	4197
77	1465	4171
78	1482	4147
79	1495	4112
80	1511	4087
81	1525	4054
82	1538	4023
83	1557	4003
84	1572	3977
85	1587	3950
86	1600	3918
87	1614	3890
88	1630	3865
89	1645	3838
90	1659	3811
91	1675	3788
92	1690	3763
93	1711	3749
94	1728	3730
95	1743	3705
96	1762	3687
97	1774	3658
98	1788	3632
99	1802	3604
100	1820	3587
101	1840	3573
102	1858	3554
103	1874	3533
104	1891	3511
105	1903	3483
106	1924	3471
107	1943	3455
108	1961	3437
109	1986	3430
110	2006	3416
111	2028	3404
112	2055	3400
113	2073	3383
114	2096	3372
115	2118	3360
116	2139	3346
117	2160	3332
118	2181	3317
119	2204	3306
120	2224	3290
121	2254	3288
122	2274	3273
123	2296	3259
124	2315	3242
125	2337	3227
126	2356	3209
127	2371	3186
128	2387	3164
129	2405	3145
130	2421	3124
131	2440	3106
132	2455	3083
133	2472	3062
134	2490	3044
135	2507	3024
136	2525	3004
137	2542	2985
138	2558	2963
139	2575	2943
140	2593	2924
141	2610	2904
142	2623	2880
143	2640	2860
144	2656	2839
145	2674	2821
146	2693	2803
147	2708	2781
148	2724	2761
149	2738	2738
150	2754	2718
151	2770	2697
152	2787	2678
153	2804	2658
154	2822	2640
155	2837	2619
156	2852	2598
157	2867	2577
158	2884	2558
159	2899	2537
160	2916	2517
161	2934	2499
162	2949	2479
163	2966	2460
164	2984	2441
165	3000	2422
166	3015	2401
167	3032	2383
168	3048	2363
169	3063	2342
170	3081	2324
171	3099	2306
172	3117	2288
173	3135	2270
174	3151	2251
175	3167	2231
176	3186	2214
177	3203	2195
178	3224	2179
179	3236	2157
180	3254	2139
181	3269	2120
182	3290	2103
183	3312	2088
184	3340	2076
185	3360	2059
186	3375	2039
187	3394	2022
188	3412	2004
189	3429	1985
190	3450	1969
191	3462	1947
192	3480	1929
193	3495	1909
194	3512	1891
195	3546	1881
196	3569	1866
197	3585	1847
198	3602	1828
199	3620	1810
200	3638	1791
201	3654	1772
202	3670	1753
203	3691	1737
204	3708	1718
205	3733	1703
206	3750	1684
207	3765	1665
208	3785	1648
209	3807	1631
210	3841	1620
211	3863	1603
212	3885	1586
213	3908	1570
214	3927	1552
215	3946	1534
216	3967	1517
217	3986	1499
218	4003	1480
219	4021	1462
220	4044	1445
221	4064	1428
222	4086	1411
223	4107	1393
224	4132	1377
225	4151	1359
226	4172	1341
227	4201	1326
228	4228	1310
229	4259	1296
230	4283	1279
231	4310	1263
232	4330	1245
233	4349	1226
234	4371	1209
235	4398	1192
236	4425	1176
237	4447	1158
238	4472	1141
239	4492	1123
240	4521	1106
241	4541	1088
242	4565	1070
243	4592	1054
244	4623	1037
245	4653	1021
246	4679	1004
247	4702	985
248	4725	967
249	4751	950
250	4779	932
251	4802	914
252	4835	898
253	4859	880
254	4877	860
255	4905	843
256	4927	824
257	4957	807
258	4985	789
259	5017	771
260	5048	754
261	5084	737
262	5111	719
263	5131	699
264	5160	681
265	5192	663
266	5216	644
267	5253	627
268	5278	608
269	5363	595
270	5393	577
271	5426	558
272	5455	539
273	5479	519
274	5505	500
275	5527	480
276	5548	460
277	5581	441
278	5606	421
279	5633	402
280	5661	382
281	5693	363
282	5712	343
283	5731	322
284	5754	302
285	5772	282
286	5798	262
287	5818	242
288	5840	222
289	5880	202
290	5899	182
291	5925	162
292	5954	142
293	5968	121
294	5979	101
295	5990	80
296	6008	60
297	6023	40
298	6036	20
299	6054	0
221	0
